name,playerid,nationality,dob,batstyle,bowlstyle,cricinfo_id
Vijitha Kumara,9502835,Sri Lanka,1979-12-05,Right-hand bat,Right-arm offbreak,49521
Vishal Amugoda,9502843,Sri Lanka,1996-06-20,Left-hand bat,,1175053
Vidana Pathirana,9502828,Sri Lanka,1983-01-25,Right-hand bat,Right-arm fast-medium,50069
Yasas Tillakaratne,9502870,Sri Lanka,1972-09-15,Left-hand bat,Legbreak,50773
Wesley Fernando,9502865,Sri Lanka,1977-12-03,Right-hand bat,Right-arm offbreak,48837
Walter Premaratne,9502856,Sri Lanka,1986-06-26,Left-hand bat,,505550
Vihanga Dilshan,9502833,Sri Lanka,1997-08-22,Right-hand bat,Right-arm offbreak,791899
Vidura Algama,9502830,Sri Lanka,1978-06-07,Right-hand bat,Legbreak,48137
Vikneswaran Piranavan,9502836,Sri Lanka,1997-03-14,Left-hand bat,Left-arm fast-medium,925389
Viraj Kavinda,9502841,Sri Lanka,1999-07-10,Right-hand bat,Right-arm offbreak,792627
Wasantha Shantha,9502862,Sri Lanka,1979-01-04,Right-hand bat,Legbreak,50445
Watshala Chaturani,9502863,Sri Lanka,1984-05-04,Right-hand bat,,54792
Sandun Mestiya,11525947,Sri Lanka,1996-04-26,Right-hand bat,Right-arm medium-fast,891368
Yohan de Silva,9502875,Sri Lanka,1994-01-10,Right-hand bat,Right-arm offbreak,687097
Mihla Simelane,9800024,Swaziland,2000-12-13,Left-hand bat,Left-arm medium,1155612
Ewan Prezens,9900018,Sweden,1979-09-08,,,515189
Kishan Oemraw,9700020,Suriname,1978-11-07,,,345287
Sadat Sidiqi,9900023,Sweden,1985-03-21,,,515195
Munir Safi,9900020,Sweden,2005-03-19,Right-hand bat,,1153819
Yohan Silva,9502876,Sri Lanka,1988-10-09,Left-hand bat,Legbreak,430602
Aman Momand,9900016,Sweden,1983-10-12,Right-hand bat,Slow left-arm orthodox,580722
Weston Clingham,9600008,St Helena,1998-10-28,,,1163188
Kayamat Ally,9700019,Suriname,1984-11-05,Left-hand bat,Right-arm medium,870025
Tariq Islam,9700024,Suriname,1970-01-17,Right-hand bat,Right-arm medium,379312
Anju Tomar,4505593,India,1991-09-25,Right-hand bat,Right-arm medium-fast,960833
Deoraj Sewanan,9700018,Suriname,1968-12-28,Right-hand bat,Right-arm offbreak,345285
Ahmad Zadran,9900015,Sweden,1984-05-18,,,515200
John Chester,9800023,Swaziland,1986-11-03,,,1163167
Yoshan Kavindra,9502877,Sri Lanka,1997-09-10,Right-hand bat,Right-arm medium-fast,791947
Yasoda Mendis,9502872,Sri Lanka,1992-08-08,Left-hand bat,Right-arm medium,1079831
Damien O'Bey,9600007,St Helena,1985-03-30,,,1163176
Sabir Zahoor,9900022,Sweden,1986-12-05,Right-hand bat,Right-arm medium,1101942
Mohindra Boodram,9700022,Suriname,1987-09-17,Right-hand bat,Right-arm offbreak,484061
Piyal Rahman,9900021,Sweden,1976-10-05,,,515190
Y Thivakaran,9502879,Sri Lanka,1995-09-23,Right-hand bat,,683841
Shahid Sarwar,9900024,Sweden,1984-03-20,Right-hand bat,Right-arm offbreak,650727
Saida Hamisi,10100062,Tanzania,1989-08-07,Right-hand bat,Right-arm offbreak,271877
Nassoro Saidi,10100056,Tanzania,1995-10-03,Right-hand bat,,578734
Andrew Yon,9600006,St Helena,1996-10-13,Right-hand bat,Right-arm medium,1163186
Alex Langham,9600005,St Helena,1995-11-02,Left-hand bat,Right-arm medium,1163181
Rohan Sandeep,9800025,Swaziland,2003-03-02,Right-hand bat,Right-arm medium,1155616
Arun Gokoel,9700017,Suriname,1988-12-23,Right-hand bat,Right-arm medium,345286
Troy Dudnath,9700026,Suriname,1990-03-19,Right-hand bat,Right-arm fast,345296
Issa Kikasi,10100045,Tanzania,1986-05-30,Right-hand bat,,296173
Arreeya Priyakhunakorn,10200033,Thailand,1994-09-14,,,779399
Arif Ansari,10200032,Thailand,1966-07-08,,,492711
Sasanka Praveen,11525948,Sri Lanka,1993-09-20,Right-hand bat,Right-arm medium-fast,7923795
Imran Essajee,10100044,Tanzania,1990-05-03,,,308744
Linda Justine,10100050,Tanzania,1999-10-08,,,1140120
Mohamad Ngombo,10100053,Tanzania,1989-07-14,,,271374
Omari Mandari,10100057,Tanzania,1988-12-12,,,308430
Sefu Mokiwa,10100064,Tanzania,2001-04-14,Right-hand bat,Right-arm offbreak,1155553
Trystan George,10000010,Switzerland,1993-05-12,,,469201
Abdullah Mwesongo,10100035,Tanzania,1994-04-04,Right-hand bat,Right-arm medium-fast,637302
Abhik Patwa,10100036,Tanzania,1987-02-05,Right-hand bat,Right-arm offbreak,296167
Kadir Dossajee,10100046,Tanzania,1981-09-11,Left-hand bat,,370039
Riziki Kiseto,10100061,Tanzania,1989-10-14,Right-hand bat,Right-arm offbreak,296169
Hudaa Mohamedi,10100043,Tanzania,2002-08-17,Right-hand bat,Right-arm medium,1189306
Catherine Kibuge,10100039,Tanzania,1999-06-15,Right-hand bat,,1189304
Agam Sanjay Sham,10200031,Thailand,1998-07-09,Right-hand bat,Right-arm medium-fast,1058979
Samir Nasser,10100063,Tanzania,1996-09-08,Left-hand bat,Right-arm offbreak,637303
Hatim Kudrati,10100041,Tanzania,1985-12-08,Right-hand bat,,296366
Kassim Nassoro,10100049,Tanzania,1988-05-13,Right-hand bat,Right-arm offbreak,296166
Daniel Jacobs,10200038,Thailand,1982-07-22,Left-hand bat,Legbreak googly,1093675
Mobeen Elyas,10100052,Tanzania,1993-12-08,Right-hand bat,Right-arm medium-fast,623719
Aparna Mondal,4505626,India,1996-02-06,Right-hand bat,,960745
Himesh Parikh,10000008,Switzerland,1993-04-28,,,469205
Kartik Sayal,10100047,Tanzania,2000-09-21,Right-hand bat,Right-arm medium,1155546
Zena Hassan,10100069,Tanzania,1991-05-02,Right-hand bat,Right-arm medium-fast,271881
Fatuma Saidi,10100040,Tanzania,1988-12-23,Right-hand bat,Right-arm offbreak,271879
Henry Greenhalgh,10000007,Switzerland,1995-07-09,,,469239
Ashwani Kumar Rana,10200034,Thailand,1977-05-06,,,387014
Joseph Boucher,10000009,Switzerland,1995-04-18,,,469196
Seif Khalifa,10100065,Tanzania,1988-02-23,Left-hand bat,Left-arm medium,470750
Zamoyoni Jaboneke,10100068,Tanzania,1994-01-01,Left-hand bat,Right-arm medium,578731
Prisca Leonard,10100058,Tanzania,1991-04-14,Right-hand bat,,383837
Baraka Laiza,10100038,Tanzania,2004-11-22,,,1155544
Satarut Rungrueang,10200064,Thailand,2003-05-29,Right-hand bat,,1167821
Aaryan Premji,10100034,Tanzania,2000-06-07,,,1089774
Mohamed Sefu,10100055,Tanzania,2001-08-03,Right-hand bat,Right-arm medium,1155552
Kasun Chinthaka,11525949,Sri Lanka,1998-10-14,Right-hand bat,Right-arm medium,149211
Thippakorn Gatekam,10200076,Thailand,1990-11-28,Right-hand bat,Right-arm medium-fast,486941
Mehmet Koc,10300011,Turkey,2001-06-01,Right-hand bat,Right-arm medium-fast,1198931
Siwaporn Kosathong,10200068,Thailand,1990-05-04,Left-hand bat,Right-arm medium-fast,486936
Serdar Kansoy,10300013,Turkey,1962-07-06,Right-hand bat,Right-arm medium-fast,1198929
Waralee Saensong,10200078,Thailand,2000-06-21,Right-hand bat,Right-arm medium,1148325
Fred Isabirye,10500067,Uganda,1984-09-22,Right-hand bat,,26142
Suwat Rastanaummuaykool,10200075,Thailand,2000-06-12,Right-hand bat,,1058972
Nopphon Senamontree,10200052,Thailand,1991-04-28,Right-hand bat,Slow left-arm orthodox,307745
Sittipong Hongsi,10200067,Thailand,1994-07-17,Right-hand bat,Right-arm medium,452511
Ratchanee Somumjam,10200058,Thailand,1987-04-29,,,301787
Jainam Sanghavi,10200044,Thailand,1996-07-31,Left-hand bat,,452526
Hasan Helva,10300009,Turkey,1981-09-10,Right-hand bat,Right-arm medium-fast,1198930
Douglas Brown,10400005,Turks and Caicos Islands,1972-02-23,Right-hand bat,Right-arm medium-fast,333010
Nabeel Munir,10300012,Turkey,1972-01-01,,,515218
Premwadee Doungsin,10200056,Thailand,1993-12-16,,,587147
Sorawat Desungnoen,10200069,Thailand,2002-09-28,Right-hand bat,Right-arm offbreak,1217807
Muhammad Kamruzzman,10200048,Thailand,1977-07-07,,,492659
Tunahan Turan,10300014,Turkey,1998-07-15,Right-hand bat,Right-arm medium-fast,1198932
Sainammin Saenya,10200059,Thailand,1998-08-30,Right-hand bat,,651191
Kushal Shah,10200047,Thailand,1996-04-24,Right-hand bat,Left-arm medium,452525
Wittaya Mungplongklang,10200079,Thailand,1995-01-09,Right-hand bat,Right-arm medium,452517
Narumon Srisuwan,10200049,Thailand,1987-02-02,Right-hand bat,Right-arm medium,301741
Sanjay Sarda,10200060,Thailand,1972-01-21,,,492676
Huseyin Sen,10300010,Turkey,1983-02-18,,,515221
Vishnu Ramesh,10200077,Thailand,1993-02-13,Right-hand bat,Right-arm medium-fast,633495
Richard Agamiire,10500100,Uganda,1999-05-19,Right-hand bat,Right-arm medium,1107650
Emmanuel Taban,10500065,Uganda,1994-12-07,Left-hand bat,Right-arm medium,575795
Mildred Anyigo,10500087,Uganda,2000-01-11,Right-hand bat,Right-arm medium,1189309
Moses Otiti,10500090,Uganda,1988-12-30,Right-hand bat,Right-arm medium-fast,309112
Deusdedit Muhumuza,10500060,Uganda,1989-09-30,Right-hand bat,Right-arm medium,308440
Ahmad Sangau,10500051,Uganda,1992-12-20,Right-hand bat,Right-arm fast-medium,308709
Mary Nanderenga,10500086,Uganda,1984-08-07,Right-hand bat,,383865
Benjamin Musoke,10500054,Uganda,1976-10-23,Right-hand bat,Right-arm medium-fast,26138
Raymond Otim,10500098,Uganda,1986-10-21,Right-hand bat,Legbreak,26150
Emmanuel Nakaana,10500064,Uganda,1991-12-14,Right-hand bat,Right-arm offbreak,233521
Abdalah Sezooba,10500049,Uganda,1996-07-23,Right-hand bat,,637547
Emmanuel Hasahya,10500062,Uganda,1996-04-06,Right-hand bat,Right-arm offbreak,577335
James Bamulese,10500074,Uganda,1983-04-11,,,1180325
Kiatiwut Suttisan,10200045,Thailand,1998-09-30,Right-hand bat,Right-arm medium-fast,1058966
Saran Maliwan,10200061,Thailand,1999-10-04,Right-hand bat,Right-arm medium-fast,1058969
Keith Legesi,10500081,Uganda,1981-12-19,Right-hand bat,,26133
Jackie Nakito,10500073,Uganda,1984-09-29,Right-hand bat,,272020
Joseph Byaruhanga,10500079,Uganda,1999-10-02,,,928117
Mohammed Akmal,10500089,Uganda,1995-03-23,Left-hand bat,,637550
Gloria Adubu,10500070,Uganda,1991-12-21,,,383851
Phillimon Selowa,10500096,Uganda,1986-08-03,Left-hand bat,,234766
Lawrence Sempijja,10500084,Uganda,1995-12-12,Right-hand bat,Right-arm medium,473389
Arthur Kyobe,10500053,Uganda,1988-11-29,Left-hand bat,,26145
Daniel Batuwa,10500057,Uganda,1990-12-15,Right-hand bat,Right-arm bowler,308447
Ayushi Garg,4505739,India,2002-05-11,Right-hand bat,Right-arm medium-fast,961055
Joel Olwenyi,10500077,Uganda,1980-08-28,Right-hand bat,Right-arm medium-fast,26128
Naeem Bardai,10500091,Uganda,1992-12-01,Right-hand bat,,660353
Rohan Ash,10400010,Turks and Caicos Islands,1976-08-18,Right-hand bat,Right-arm offbreak,333014
Danniel Ruyange,10500058,Uganda,1985-09-11,Right-hand bat,Right-arm medium-fast,26151
Nehal Bibodi,10500092,Uganda,1971-03-18,Right-hand bat,Right-arm offbreak,208247
Jonathan Sebanja,10500078,Uganda,1988-09-10,Right-hand bat,Left-arm medium,308446
Kenneth Waiswa,10500082,Uganda,1998-11-11,Right-hand bat,Right-arm medium,928109
Nuwagaba Edwin,10500093,Uganda,2004-01-20,Right-hand bat,Right-arm medium,1178059
David Wabwire,10500059,Uganda,1998-11-29,,Right-arm medium-fast,928123
Juma Miyagi,10500080,Uganda,2003-04-05,Right-hand bat,Right-arm medium,1178060
Ivan Baidhu,10500072,Uganda,1993-12-25,Right-hand bat,Left-arm medium,473386
Perry Wazombe,10500095,Uganda,2002-01-12,,,1178063
Bharti Fulmali,4505797,India,1994-10-11,Right-hand bat,Right-arm medium-fast,961179
Timothy Kayigwa,10500105,Uganda,1994-10-04,Right-hand bat,Right-arm medium,575798
Abdullah Hanif,10600873,United Arab Emirates,1982-09-17,Left-hand bat,Right-arm medium-fast,25607
Simon Okecho,10500104,Uganda,2002-10-18,,Legbreak,928111
Ahsan Ali Khan,10600901,United Arab Emirates,1997-05-01,Right-hand bat,Right-arm medium,796321
Ali Arif,10600860,United Arab Emirates,1998-04-29,,,1106423
Adil Reyal,10600884,United Arab Emirates,1990-09-08,,,624151
Abdul Rehman,10600876,United Arab Emirates,1987-01-02,Right-hand bat,,25580
Trevor Bukenya,10500106,Uganda,2001-12-25,Right-hand bat,Right-arm medium-fast,928125
Arun,10600961,United Arab Emirates,1994-12-08,,,1106309
Ali Mirza,10600917,United Arab Emirates,1999-11-03,Right-hand bat,Right-arm offbreak,1058991
Aneesh,10600936,United Arab Emirates,1988-05-22,,,1106365
Ali Firoz,10600916,United Arab Emirates,1985-02-18,Right-hand bat,Right-arm offbreak,25570
Anisha Sharma,10600942,United Arab Emirates,1991-09-30,,,302368
Asim Khurshid,10600981,United Arab Emirates,1981-02-18,Right-hand bat,Right-arm fast,447455
Kamran Sakhi,11525953,Afghanistan,2001-12-05,Right-hand bat,Legbreak,2294070
Awais Alam,10600992,United Arab Emirates,1977-07-03,Right-hand bat,Right-arm fast,447074
Azhar Saeed,10600997,United Arab Emirates,1970-12-25,Left-hand bat,Slow left-arm orthodox,25533
Awais,10600991,United Arab Emirates,1989-06-08,,,1106384
Bakhtiyar Hamid,10601005,United Arab Emirates,1980-05-04,Left-hand bat,,624152
Danish Maqsood,10601035,United Arab Emirates,1991-11-14,,,1106394
Chirag Makhija,10601031,United Arab Emirates,1994-09-21,Right-hand bat,,927455
Farrukh Ali,10601080,United Arab Emirates,1977-11-14,,,1106422
Dhurva Praveen,10601045,United Arab Emirates,1996-05-01,Right-hand bat,Right-arm offbreak,713823
Faisal Shah,11525954,Oman,1997-01-05,Left-hand bat,Left-arm medium,6490082
Dilip Singh,4505995,India,1987-11-22,Right-hand bat,Right-arm offbreak,28533
Fahad Al Hashmi,10601059,United Arab Emirates,1982-07-31,Right-hand bat,Right-arm fast-medium,220521
Imran Haider,10601147,United Arab Emirates,1987-10-31,Right-hand bat,Legbreak googly,943275
Irfan Ahmed,10601157,United Arab Emirates,1990-10-16,Right-hand bat,Right-arm medium-fast,307806
Shakeel Ahmad,11525955,Oman,1988-02-04,Left-hand bat,Slow left-arm orthodox,4174801
Jay Joshi,10601182,United Arab Emirates,1995-05-20,Right-hand bat,,633499
Jainendra,10601169,United Arab Emirates,1976-10-02,,,1106323
Ishani Seneviratne,10601162,United Arab Emirates,1988-09-11,Right-hand bat,Right-arm bowler,434225
Khizer Munir,10601215,United Arab Emirates,1990-09-18,,,1106413
Mohd Shibli,11525956,India,2004-12-16,Right-hand bat,Right-arm medium-fast,1566568
Majid Tazhir,10601233,United Arab Emirates,1996-02-05,,,1106397
Mohammad Atif,10601264,United Arab Emirates,1982-09-12,,,25586
Manjula Guruge,10601239,United Arab Emirates,1981-02-14,Right-hand bat,Left-arm fast-medium,49013
Mohammad Naveed,10601267,United Arab Emirates,1987-06-03,Right-hand bat,Right-arm medium,533862
Leon Glen Carlo,10601226,United Arab Emirates,1984-11-08,Right-hand bat,Right-arm medium,25576
Moiz Shahid,10601282,United Arab Emirates,1988-04-27,Right-hand bat,Left-arm medium-fast,437021
Mohit,10601277,United Arab Emirates,1989-04-13,,,1106321
Natasha Cherriath,10601328,United Arab Emirates,1994-07-31,Right-hand bat,Right-arm medium,301617
Naseer Uddin,10601324,United Arab Emirates,1999-07-22,Right-hand bat,,913827
Muhammad Ayaz,10601290,United Arab Emirates,1987-10-13,Left-hand bat,Left-arm medium-fast,1116238
William Bennison,11525958,England,2006-09-10,Right-hand bat,Legbreak,9477831
Muhammad Usman,10601299,United Arab Emirates,1985-10-13,Left-hand bat,,974719
Osama Hassan,10601360,United Arab Emirates,2002-08-17,Right-hand bat,Legbreak googly,1179860
Nawab-ul-Mulk,10601339,United Arab Emirates,1989-03-24,,,308775
Qais Farooq,10601376,United Arab Emirates,1978-08-31,Right-hand bat,,320656
Rakesh,10601392,United Arab Emirates,1992-05-05,,,1106400
Raziq Khan,10601404,United Arab Emirates,1979-10-31,,,626112
Sahayaraj Siluvai,10601435,United Arab Emirates,1984-02-14,,,1106417
Sajid Khan,10601441,United Arab Emirates,1994-06-22,Right-hand bat,Right-arm medium,633505
Sami Nasir,10601457,United Arab Emirates,1989-09-25,,,1106399
Saqib Shah,10601464,United Arab Emirates,1979-09-01,Right-hand bat,,462381
Shadeep Silva,10601487,United Arab Emirates,1978-08-18,Left-hand bat,Slow left-arm orthodox,50460
Shahid,10601490,United Arab Emirates,1985-04-11,,,1106319
Samiya Salim,10601458,United Arab Emirates,1993-03-26,Left-hand bat,Left-arm medium,301626
Thanki Kirit,10601566,United Arab Emirates,1986-09-26,,,1106420
Shivank Vijayakumar,10601512,United Arab Emirates,1995-08-31,Right-hand bat,,697811
Sunil Kutty,10601541,United Arab Emirates,1978-05-04,,,1106345
Sohaib Rasheed,10601527,United Arab Emirates,1989-04-08,,,1106418
Tanvir Mehdi,10601559,United Arab Emirates,1972-11-07,Right-hand bat,Right-arm fast-medium,43274
Shiyas,10601513,United Arab Emirates,1978-05-25,,,1106383
Subin,10601535,United Arab Emirates,1986-05-13,,,1106359
Syed Faizan,10601548,United Arab Emirates,1995-02-26,Right-hand bat,,927457
Taimour Ahmed,10601554,United Arab Emirates,1990-12-04,,,1106390
Shivani Sathe,10601511,United Arab Emirates,1987-11-24,,,1126426
Ubaid Ullah,10601574,United Arab Emirates,1999-04-20,,,1116319
Veni Praveen,10601595,United Arab Emirates,1972-05-04,,,301616
Vineeth,10601600,United Arab Emirates,1992-01-15,,,1106353
Amarnauth Persaud,10700129,United States of America,1994-01-14,Left-hand bat,Right-arm medium,521647
Anil Deopersaud,10700130,United States of America,1987-04-05,Right-hand bat,Legbreak,233244
Ankit Mehta,10700131,United States of America,1984-03-06,Right-hand bat,Legbreak googly,772477
Zubair,10601664,United Arab Emirates,1990-03-27,,,1106369
Dung Cao Chí,10900004,Vietnam,1978-06-23,Right-hand bat,,1116774
Usman Tariq,10601587,United Arab Emirates,1998-01-01,Right-hand bat,Right-arm offbreak,1113624
Ahmed Butt,10700127,United States of America,1984-09-29,Right-hand bat,Right-arm offbreak,772473
Yogesh G. Mistry,10601636,United Arab Emirates,1978-10-28,Right-hand bat,Legbreak,25599
Asmar Najam,10700134,United States of America,1982-07-05,Right-hand bat,Slow left-arm orthodox,770315
Adam Sanford,10700125,United States of America,1975-07-12,Right-hand bat,Right-arm fast-medium,52957
Dominic Audain,10700140,United States of America,1987-01-07,Right-hand bat,Right-arm fast,233246
Arsh Buch,10700132,United States of America,1994-10-22,Right-hand bat,Left-arm medium,364176
Abhiram Valisammagari,10700124,United States of America,2003-05-02,Right-hand bat,Right-arm medium,1193312
Nathan Green,10700185,United States of America,1978-03-31,Left-hand bat,Right-arm medium,772379
Krish Goel,10700170,United States of America,1993-10-17,Right-hand bat,Right-arm offbreak,364170
Jason Fox,10700156,United States of America,1992-09-21,Right-hand bat,,364157
Hussain Haidar,10700152,United States of America,1984-09-29,Right-hand bat,Right-arm offbreak,526582
Hemant Punoo,10700149,United States of America,1985-09-10,Right-hand bat,Right-arm offbreak,233250
Moazzam Imtiaz,10700179,United States of America,1983-07-19,Right-hand bat,Right-arm medium,460182
Kwiese Edmondson,10700173,United States of America,1994-07-05,Left-hand bat,Right-arm medium,650925
Keifer Phill,10700169,United States of America,1996-12-07,Right-hand bat,Right-arm medium,652041
Hunain Amin,10700151,United States of America,1990-01-03,Left-hand bat,Slow left-arm orthodox,770331
Kalim Ahmed,10700166,United States of America,1992-10-21,Right-hand bat,Left-arm medium,364156
Jignesh Desai,10700161,United States of America,1974-04-18,Left-hand bat,Right-arm offbreak,25880
Nicholas Standford,10700186,United States of America,1987-06-04,Right-hand bat,Right-arm medium,589664
Jay Pathak,10700157,United States of America,1994-12-07,Left-hand bat,Right-arm medium,772487
Imran Babar,10700155,United States of America,1997-11-09,Right-hand bat,Right-arm medium,770335
Karim Sakhi,10700167,United States of America,1982-06-15,Left-hand bat,Left-arm medium,772457
Gowkaran Roopnarine,10700146,United States of America,1982-02-24,Left-hand bat,,211918
Manisha Badhan,4506551,India,1995-12-01,Right-hand bat,Right-arm offbreak,961027
Adil Bhatti,10700126,United States of America,1984-10-28,Right-hand bat,Right-arm medium,552880
Kushal Ganji,10700171,United States of America,1996-12-31,Right-hand bat,Right-arm offbreak,928133
Nadia Gruny,10700183,United States of America,1984-04-23,Right-hand bat,Right-arm medium,465612
Francis Mendonca,10700143,United States of America,1987-12-02,Right-hand bat,,772415
Jazeb Tariq,10700158,United States of America,1993-02-17,Right-hand bat,Right-arm medium,772405
Mahesh Krishnamurthi,10700176,United States of America,1983-06-20,Right-hand bat,Right-arm medium,772449
Sugetha Chandhrasekar,10700216,United States of America,1991-02-24,Right-hand bat,Legbreak,1057354
Timothy Surujbally,10700220,United States of America,1984-05-25,Right-hand bat,Right-arm offbreak,589665
Sindhuja Salguti,10700210,United States of America,1990-05-17,Right-hand bat,,1057350
Rahul Singh,10700194,United States of America,1986-03-31,Right-hand bat,Legbreak googly,772461
Usman Ashraf,10700225,United States of America,1996-08-24,Right-hand bat,Legbreak googly,1159642
Rishi Patel,10700198,United States of America,1995-08-02,Right-hand bat,Right-arm medium,649007
Orlando Baker,10700190,United States of America,1979-09-15,Right-hand bat,Right-arm medium,51279
Pauline Williams,10700191,United States of America,1978-06-24,,,465613
Trevor Singh,10700222,United States of America,1992-11-11,Right-hand bat,Legbreak googly,364137
Triholder Marshall,10700223,United States of America,1987-05-25,Right-hand bat,Right-arm medium,465617
Rishi Bhardwaj,10700197,United States of America,1983-08-05,Right-hand bat,,772451
Rusty Theron,10700202,United States of America,1985-07-24,Right-hand bat,Right-arm medium-fast,223642
Wahab Syed,10700228,United States of America,1982-02-22,,,352399
Ravi Timbawala,10700196,United States of America,1989-06-08,Right-hand bat,Right-arm medium,233256
Alex Adams,11200501,West Indies,1975-01-07,Right-hand bat,Right-arm offbreak,51119
Roshan Varadarajan,10700200,United States of America,1995-02-12,Right-hand bat,Right-arm offbreak,649009
Smit Doshi,10700212,United States of America,2001-10-28,Right-hand bat,Legbreak googly,1111459
Randall Wilson,10700195,United States of America,1995-09-15,Right-hand bat,Right-arm medium,649005
Samarth Shah,10700204,United States of America,1977-06-19,Left-hand bat,Slow left-arm orthodox,521206
Yasheb Rajpar,10700235,United States of America,1992-11-09,Right-hand bat,Right-arm offbreak,770317
Waleed Aslam,10700229,United States of America,1985-02-26,Right-hand bat,Right-arm medium,772419
Usman Shuja,10700226,United States of America,1978-11-29,Right-hand bat,Right-arm fast-medium,257494
Shayan Abdulghani,10700207,United States of America,1993-08-09,Right-hand bat,Slow left-arm orthodox,499608
Timroy Allen,10700221,United States of America,1987-01-22,Right-hand bat,Right-arm fast-medium,378282
Juilan Tommy,10800032,Vanuatu,2005-07-30,Right-hand bat,,1186243
Manu Nimoho,10800038,Vanuatu,1982-03-20,Right-hand bat,Right-arm medium,352280
Malon Tastuki,10800036,Vanuatu,1996-03-26,Right-hand bat,Right-arm medium-fast,647709
Alvin James-Knight,11200508,West Indies,1969-10-23,,,248888
Giau Le Thanh,10900005,Vietnam,1995-09-04,Right-hand bat,Slow left-arm orthodox,1116768
Alecia Bookal,11200500,West Indies,1995-08-30,Left-hand bat,Left-arm medium,474310
Andrew Mansale,10800027,Vanuatu,1988-08-05,Right-hand bat,Right-arm offbreak,275654
Alisa Mohammed,11200504,West Indies,1988-09-07,Right-hand bat,Right-arm offbreak,472343
Edwell Kalfau,10800029,Vanuatu,2002-03-26,,Right-arm medium,1115054
Ty Hoaing Phuc,10900006,Vietnam,1995-06-17,Right-hand bat,Right-arm medium-fast,1116767
Jamal Ngwango,10800031,Vanuatu,1994-04-18,Right-hand bat,,524277
Brendan Piau-Lynch,10800028,Vanuatu,1988-10-14,Right-hand bat,,302706
Akil Greenidge,11200497,West Indies,1996-12-24,Right-hand bat,Right-arm medium,906737
Amwaa Prince,11200510,West Indies,1979-12-20,Left-hand bat,,52792
Alford Givance,11200502,West Indies,1974-03-24,Right-hand bat,Right-arm offbreak,51918
Allan Laurent,11200506,West Indies,1985-11-27,Right-hand bat,Right-arm fast-medium,333038
Albert Kpundeh,11100008,West Africa,1969-11-20,,,25890
Shania Kenni,10800042,Vanuatu,2000-03-11,Right-hand bat,,1182781
Akeira Peters,11200496,West Indies,1993-09-30,Left-hand bat,Left-arm medium,530139
William Laumae,10800047,Vanuatu,2005-08-13,Right-hand bat,,1186244
Philip Taripakoa,10800040,Vanuatu,1994-08-23,Right-hand bat,,647721
Kenny Tari,10800034,Vanuatu,1990-04-02,Right-hand bat,Right-arm fast-medium,420512
Manu Kenni,10800037,Vanuatu,2003-09-22,,Right-arm fast,1186248
Nono Chillia,10800039,Vanuatu,2000-12-12,,Right-arm fast,1186246
Kendy Kenneth,10800033,Vanuatu,1992-05-25,Right-hand bat,,420511
Victor Aru,10800046,Vanuatu,1991-01-25,Right-hand bat,Right-arm fast,302713
Frederick Timakata,10800030,Vanuatu,1989-05-05,Right-hand bat,,302711
Andrew Gonsalves,11200516,West Indies,1978-05-31,,,51910
Camille Garrick,11200546,West Indies,1981-01-04,Right-hand bat,Right-arm medium,474254
Audley Sanson,11200529,West Indies,1974-11-05,Right-hand bat,Right-arm fast,52966
Anderson Sealy,11200511,West Indies,1982-07-10,Right-hand bat,Slow left-arm orthodox,53113
Azib Ally-Haniff,11200530,West Indies,1978-11-08,Right-hand bat,,51128
Calvin Watson,11200545,West Indies,1983-02-19,,Right-arm fast,53349
Carlton Baugh,11200549,West Indies,1982-06-23,Right-hand bat,Legbreak googly,51446
Christopher Taylor,11200556,West Indies,1980-02-27,,,530126
Chris Wright,11200558,West Indies,1977-04-06,,,656217
Cletus Mathurin,11200559,West Indies,1982-04-26,Right-hand bat,Right-arm medium-fast,333068
Bront DeFreitas,11200542,West Indies,1978-11-12,Right-hand bat,Right-arm fast-medium,51734
Aneka White,11200518,West Indies,1992-06-24,Right-hand bat,Right-arm medium,474307
Collis Worrell,11200564,West Indies,1988-11-28,Left-hand bat,,416191
Andre Coley,11200514,West Indies,1974-09-22,Left-hand bat,,51531
Brian Stuart,11200540,West Indies,1971-12-28,Right-hand bat,Right-arm slow,252875
Bryan Charles,11200543,West Indies,1995-06-09,Right-hand bat,Right-arm offbreak,670017
Brian Buchanan,11200538,West Indies,1986-12-02,Right-hand bat,Right-arm fast-medium,623997
Colin Cannonier,11200563,West Indies,1973-05-22,Right-hand bat,Right-arm medium,51493
Neena Choudhary,4506799,India,1991-03-24,Right-hand bat,Right-arm offbreak,960843
Danielle Small,11200577,West Indies,1989-03-16,Right-hand bat,Right-arm medium-fast,355357
Dwayne Yearwood,11200613,West Indies,1980-08-15,Right-hand bat,Right-arm offbreak,377901
Dolston Tuit,11200605,West Indies,1986-04-05,Right-hand bat,Right-arm offbreak,252969
Daylight Byron-Toney,11200590,West Indies,1977-09-13,Right-hand bat,Right-arm medium,576500
Delbert Gayle,11200593,West Indies,1993-09-18,Right-hand bat,Right-arm offbreak,748751
Donwell Hector,11200607,West Indies,1988-10-31,Right-hand bat,Right-arm offbreak,314628
Dimeon Williams,11200604,West Indies,1987-05-16,Right-hand bat,Right-arm medium-fast,333074
Craig St Hill,11200568,West Indies,1993-10-01,,,626677
